Title,Year,IMDB,Dynamic IMDB,IMDB Difference,Metacritic,Dynamic Metacritic,Metacritic Difference,Original Rating,Dynamic Rating,Rating Difference
The Godfather,1972,92,93.57,1.57,100,98.12,-1.88,96.0,95.84,-0.16
The Shawshank Redemption,1994,93,100.0,7.0,80,71.03,-8.97,86.5,85.52,-0.98
Schindler's List,1993,89,78.35,-10.65,94,90.14,-3.86,91.5,84.25,-7.25
Pulp Fiction,1994,89,78.54,-10.46,94,89.87,-4.13,91.5,84.21,-7.29
The Godfather: Part II,1974,90,83.2,-6.8,90,85.14,-4.86,90.0,84.17,-5.83
The Lord of the Rings: The Return of the King,2003,89,79.13,-9.87,94,87.46,-6.54,91.5,83.29,-8.21
12 Angry Men,1957,90,79.22,-10.78,96,83.13,-12.87,93.0,81.17,-11.83
The Lord of the Rings: The Fellowship of the Ring,2001,88,73.98,-14.02,92,85.25,-6.75,90.0,79.62,-10.38
The Dark Knight,2008,90,83.65,-6.35,84,72.96,-11.04,87.0,78.31,-8.69
"Il buono, il brutto, il cattivo",1966,88,72.32,-15.68,90,83.33,-6.67,89.0,77.82,-11.18
Sen to Chihiro no kamikakushi,2001,86,63.3,-22.7,96,90.5,-5.5,91.0,76.9,-14.1
Goodfellas,1990,87,68.15,-18.85,90,85.56,-4.44,88.5,76.86,-11.64
Gisaengchung,2019,86,61.82,-24.18,96,88.25,-7.75,91.0,75.03,-15.97
Star Wars,1977,86,62.67,-23.33,90,86.04,-3.96,88.0,74.36,-13.64
Hotaru no haka,1988,85,57.55,-27.45,94,90.98,-3.02,89.5,74.27,-15.23
Saving Private Ryan,1998,86,63.13,-22.87,91,84.83,-6.17,88.5,73.98,-14.52
The Lord of the Rings: The Two Towers,2002,87,68.43,-18.57,87,78.46,-8.54,87.0,73.44,-13.56
Forrest Gump,1994,88,73.04,-14.96,82,73.67,-8.33,85.0,73.36,-11.64
Psycho,1960,85,55.83,-29.17,97,89.31,-7.69,91.0,72.57,-18.43
One Flew Over the Cuckoo's Nest,1975,87,67.74,-19.26,83,76.07,-6.93,85.0,71.91,-13.09
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,84,51.39,-32.61,97,92.33,-4.67,90.5,71.86,-18.64
Apocalypse Now,1979,84,52.13,-31.87,94,91.6,-2.4,89.0,71.86,-17.14
Star Wars: Episode V - The Empire Strikes Back,1980,87,67.8,-19.2,82,75.31,-6.69,84.5,71.56,-12.94
Hamilton,2020,86,61.82,-24.18,90,80.37,-9.63,88.0,71.09,-16.91
The Silence of the Lambs,1991,86,62.64,-23.36,85,78.46,-6.54,85.5,70.55,-14.95
Shichinin no samurai,1954,86,58.19,-27.81,98,82.57,-15.43,92.0,70.38,-21.62
Lawrence of Arabia,1962,83,45.41,-37.59,100,94.32,-5.68,91.5,69.86,-21.64
Back to the Future,1985,85,57.68,-27.32,87,81.88,-5.12,86.0,69.78,-16.22
WALL·E,2008,84,51.97,-32.03,95,87.42,-7.58,89.5,69.69,-19.81
The Lion King,1994,85,57.5,-27.5,88,81.82,-6.18,86.5,69.66,-16.84
Toy Story,1995,83,47.27,-35.73,95,91.15,-3.85,89.0,69.21,-19.79
Taxi Driver,1976,83,46.78,-36.22,94,91.23,-2.77,88.5,69.0,-19.5
Alien,1979,84,52.01,-31.99,89,84.7,-4.3,86.5,68.36,-18.14
Fanny och Alexander,1982,81,36.42,-44.58,100,100.0,0.0,90.5,68.21,-22.29
Seppuku,1962,86,61.47,-24.53,85,74.9,-10.1,85.5,68.19,-17.31
Ran,1985,82,41.9,-40.1,96,94.31,-1.69,89.0,68.11,-20.89
Vertigo,1958,83,44.37,-38.63,100,90.54,-9.46,91.5,67.45,-24.05
Trois couleurs: Rouge,1994,81,36.55,-44.45,100,98.18,-1.82,90.5,67.37,-23.13
Whiplash,2014,85,56.8,-28.2,88,77.63,-10.37,86.5,67.22,-19.28
North by Northwest,1959,83,44.79,-38.21,98,89.03,-8.97,90.5,66.91,-23.59
The Pianist,2002,85,57.89,-27.11,85,75.84,-9.16,85.0,66.87,-18.13
Jodaeiye Nader az Simin,2011,83,46.44,-36.56,95,86.94,-8.06,89.0,66.69,-22.31
Pan's Labyrinth,2006,82,41.54,-40.46,98,91.66,-6.34,90.0,66.6,-23.4
Inception,2010,88,72.96,-15.04,74,59.56,-14.44,81.0,66.26,-14.74
Rear Window,1954,84,47.47,-36.53,100,84.58,-15.42,92.0,66.03,-25.97
The Departed,2006,85,57.44,-27.56,85,74.61,-10.39,85.0,66.03,-18.97
The Lives of Others,2006,84,52.14,-31.86,89,79.82,-9.18,86.5,65.98,-20.52
The Apartment,1960,83,45.61,-37.39,94,85.9,-8.1,88.5,65.75,-22.75
Raiders of the Lost Ark,1981,84,52.2,-31.8,85,79.23,-5.77,84.5,65.72,-18.78
Cidade de Deus,2002,86,63.18,-22.82,79,67.87,-11.13,82.5,65.53,-16.97
Amadeus,1984,83,47.1,-35.9,88,82.96,-5.04,85.5,65.03,-20.47
Some Like It Hot,1959,82,39.81,-42.19,98,89.72,-8.28,90.0,64.77,-25.23
Nuovo Cinema Paradiso,1988,85,57.64,-27.36,80,71.89,-8.11,82.5,64.77,-17.73
The Matrix,1999,87,68.62,-18.38,73,60.55,-12.45,80.0,64.59,-15.41
Eternal Sunshine of the Spotless Mind,2004,83,47.35,-35.65,89,80.79,-8.21,86.0,64.07,-21.93
Il conformista,1970,80,30.46,-49.54,100,97.65,-2.35,90.0,64.06,-25.94
Monty Python and the Holy Grail,1975,82,41.19,-40.81,91,86.88,-4.12,86.5,64.03,-22.47
Spider-Man: Into the Spider-Verse,2018,84,51.16,-32.84,87,76.47,-10.53,85.5,63.81,-21.69
Das Boot,1981,83,46.97,-36.03,86,80.62,-5.38,84.5,63.8,-20.7
Once Upon a Time in the West,1968,85,56.86,-28.14,80,70.44,-9.56,82.5,63.65,-18.85
La battaglia di Algeri,1966,81,35.69,-45.31,96,91.54,-4.46,88.5,63.62,-24.88
There Will Be Blood,2007,82,41.42,-40.58,93,85.23,-7.77,87.5,63.33,-24.17
L.A. Confidential,1997,82,41.93,-40.07,90,84.2,-5.8,86.0,63.06,-22.94
Raging Bull,1980,82,41.25,-40.75,89,84.84,-4.16,85.5,63.05,-22.45
Fight Club,1999,88,73.85,-14.15,66,51.38,-14.62,77.0,62.61,-14.39
Platoon,1986,81,36.43,-44.57,92,88.57,-3.43,86.5,62.5,-24.0
Paths of Glory,1957,84,48.8,-35.2,90,76.18,-13.82,87.0,62.49,-24.51
Aliens,1986,83,47.12,-35.88,84,77.78,-6.22,83.5,62.45,-21.05
The Usual Suspects,1995,85,57.79,-27.21,77,66.81,-10.19,81.0,62.3,-18.7
Toy Story 3,2010,82,41.19,-40.81,92,83.04,-8.96,87.0,62.12,-24.88
12 Years a Slave,2013,81,35.83,-45.17,96,88.11,-7.89,88.5,61.97,-26.53
Singin' in the Rain,1952,83,41.44,-41.56,99,81.88,-17.12,91.0,61.66,-29.34
